title,web,cite,pdf,abstract
Digital possessions in the museum of broken relationships,https://dl.acm.org/doi/abs/10.1145/3170427.3186547,5,https://discovery.dundee.ac.uk/files/20291571/_5baccepted_manuscript_5d_Digital_Possessions_in_the_Museum_of_Broken_Relationships.pdf,
A tangible VR game designed for spatial penetrative thinking ability,https://dl.acm.org/doi/abs/10.1145/3170427.3186530,5,,
Fieldguide: Smartwatches in a multi-display museum environment,https://dl.acm.org/doi/abs/10.1145/3170427.3188694,6,https://dl.acm.org/doi/pdf/10.1145/3170427.3188694,
Spatial ability improvement by tangible interaction: A case study with EasySRRobot,https://dl.acm.org/doi/abs/10.1145/3170427.3188545,6,,
Mooqita: empowering hidden talents with a novel work-learn model,https://dl.acm.org/doi/abs/10.1145/3170427.3174351,7,,
Empowering Interventions for Persons with Neurodevelopmental Disorders through Wearable Virtual Reality and Bio-sensors,https://dl.acm.org/doi/abs/10.1145/3170427.3188636,6,,
Detecting personality unobtrusively from users' online and offline workplace behaviors,https://dl.acm.org/doi/abs/10.1145/3170427.3188566,6,,
Changing peer support attitudes with avatar-based gamification,https://dl.acm.org/doi/abs/10.1145/3170427.3188497,6,,
Dynamic object scanning: Object-based elastic timeline for quickly browsing first-person videos,https://dl.acm.org/doi/abs/10.1145/3170427.3189085,5,,
Bridging a bridge: Bringing two HCI communities together,https://dl.acm.org/doi/abs/10.1145/3170427.3170612,5,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/140402/wks0159-djamasbi?sequence=1,
A Design Space for Audience Sensing and Feedback Systems,https://dl.acm.org/doi/abs/10.1145/3170427.3188569,6,,
Classroom Activity for Critical Analysis of News Propagation Online,https://dl.acm.org/doi/abs/10.1145/3170427.3174355,6,https://repository.wellesley.edu/islandora/object/ir%3A299/datastream/PDF/view,
An interactive tactile aid for older adults learning to use tablet devices,https://dl.acm.org/doi/abs/10.1145/3170427.3186548,6,,
Preserving privacy in smart homes: A socio-cultural approach,https://dl.acm.org/doi/abs/10.1145/3170427.3173018,6,https://ora.ox.ac.uk/objects/uuid:16999541-42f0-45ac-8b6d-006563d951f0/files/m37e4a5283069c5e90e8530a03bf2c041,
Enabling the Participation of People with Parkinson's and their Caregivers in Co-Inquiry around Collectivist Health Technologies,https://dl.acm.org/doi/abs/10.1145/3173574.3174065,3,https://dl.acm.org/doi/pdf/10.1145/3173574.3174065,
Interactivity factors in visualization-based exploratory search,https://dl.acm.org/doi/abs/10.1145/3170427.3188558,5,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2317&context=open_access_theses,
Data Jalebi Bot,https://dl.acm.org/doi/abs/10.1145/3170427.3186528,5,,
How to write CHI papers,https://dl.acm.org/doi/abs/10.1145/3170427.3170653,5,http://library.usc.edu.ph/ACM/CHI2019/2exabs/C05.pdf,
Crisis informatics in the anthropocene: disasters as matters of care and concern,https://dl.acm.org/doi/abs/10.1145/3170427.3173027,6,,
Exploring social awareness: a design case study in minimal communication,https://dl.acm.org/doi/abs/10.1145/3170427.3174365,6,,
On Visual granularity: Collocated sales meeting interactions in the machine industry,https://dl.acm.org/doi/abs/10.1145/3173574.3173721,3,https://dl.acm.org/doi/pdf/10.1145/3173574.3173721,
Looking up information in email: Feedback on visit durations discourages distractions,https://dl.acm.org/doi/abs/10.1145/3170427.3188607,6,https://discovery.ucl.ac.uk/id/eprint/10043666/7/Borghouts_paper1492.pdf,
A multi-site investigation of community awareness through passive location sharing,https://dl.acm.org/doi/abs/10.1145/3173574.3174155,3,http://acm.mementodepot.org/pubs/proceedings/acmconferences_3173574/3173574/3173574.3174155/3173574.3174155.pdf,
